xflr5 v6.30
NACA 0010
Alpha =   3.0,  Re =    50000,  Ma= 0.0000,  ACrit= 9.0


Top Side
    x         Hk     Ue/Vinf      Cf        Cd     A/A0       D*       Theta      CTq
 0.74500   7.52722   1.11749  -0.00047  0.00123  7.17048   0.02251   0.00299   0.11565
 0.75907   7.63545   1.11655  -0.00047  0.00122  7.38095   0.02300   0.00301   0.11596
 0.77303   7.73160   1.11564  -0.00046  0.00121  7.58894   0.02346   0.00303   0.11623
 0.78685   7.81425   1.11476  -0.00046  0.00119  7.79414   0.02387   0.00305   0.11646
 0.80051   7.88178   1.11389  -0.00045  0.00118  7.99623   0.02424   0.00308   0.11665
 0.81401   7.93232   1.11304  -0.00045  0.00117  8.19489   0.02456   0.00310   0.11678
 0.82733   7.96358   1.11220  -0.00045  0.00116  8.38977   0.02483   0.00312   0.11687
 0.84043   7.97256   1.11137  -0.00044  0.00115  8.58051   0.02502   0.00314   0.11689
 0.85332   7.95489   1.11053  -0.00044  0.00114  8.76674   0.02514   0.00316   0.11684
 0.86596   7.90333   1.10967  -0.00044  0.00113  8.94824   0.02515   0.00318   0.11671
 0.87833   7.17282   1.09805  -0.00026  0.02421  0.12486   0.02522   0.00352   0.11352
 0.89041   6.34025   1.08241  -0.00025  0.02212  0.12339   0.02527   0.00399   0.11042
 0.90217   5.67665   1.06762  -0.00024  0.02025  0.12188   0.02525   0.00445   0.10736
 0.91358   5.13971   1.05364  -0.00022  0.01859  0.12039   0.02520   0.00490   0.10435
 0.92461   4.69873   1.04038  -0.00019  0.01710  0.11893   0.02514   0.00535   0.10140
 0.93521   4.33433   1.02784  -0.00014  0.01579  0.11754   0.02510   0.00579   0.09852
 0.94536   4.04117   1.01646  -0.00008  0.01464  0.11618   0.02507   0.00620   0.09590
 0.95499   3.81929   1.00694   0.00000  0.01368  0.11480   0.02505   0.00656   0.09379
 0.96406   3.64321   0.99863   0.00009  0.01286  0.11350   0.02506   0.00688   0.09198
 0.97248   3.50293   0.99137   0.00016  0.01217  0.11231   0.02510   0.00716   0.09044
 0.98019   3.39161   0.98508   0.00023  0.01159  0.11125   0.02516   0.00742   0.08915
 0.98705   3.30433   0.97973   0.00028  0.01112  0.11032   0.02524   0.00764   0.08809
 0.99291   3.23761   0.97533   0.00032  0.01074  0.10955   0.02532   0.00782   0.08725
 0.99748   3.19027   0.97200   0.00035  0.01046  0.10896   0.02541   0.00796   0.08663
 1.00000   3.16113   0.97024   0.00037  0.01031  0.10864   0.02541   0.00804   0.08624
 1.00010   3.48589   0.97024   0.00000  0.01442  0.09016   0.03988   0.01144   0.08966
 1.00264   3.41621   0.96818   0.00000  0.01443  0.09033   0.03954   0.01158   0.09006
 1.00566   3.33298   0.96592   0.00000  0.01437  0.09051   0.03907   0.01172   0.09002
 1.00925   3.24281   0.96375   0.00000  0.01419  0.09068   0.03847   0.01186   0.08887
 1.01351   3.13966   0.96130   0.00000  0.01397  0.09084   0.03774   0.01202   0.08748
 1.01858   3.02330   0.95856   0.00000  0.01369  0.09098   0.03687   0.01220   0.08583
 1.02461   2.89385   0.95557   0.00000  0.01335  0.09108   0.03584   0.01239   0.08386
 1.03178   2.75203   0.95239   0.00000  0.01295  0.09112   0.03464   0.01259   0.08153
 1.04029   2.59935   0.94915   0.00000  0.01245  0.09105   0.03324   0.01279   0.07876
 1.05042   2.43825   0.94605   0.00000  0.01185  0.09081   0.03165   0.01298   0.07551
 1.06245   2.27212   0.94339   0.00000  0.01115  0.09033   0.02985   0.01314   0.07172
 1.07675   2.10522   0.94155   0.00000  0.01032  0.08952   0.02789   0.01325   0.06733
 1.09376   1.94241   0.94094   0.00000  0.00938  0.08830   0.02580   0.01328   0.06235
 1.11397   1.78861   0.94192   0.00000  0.00834  0.08662   0.02366   0.01323   0.05682
 1.13800   1.64813   0.94466   0.00000  0.00723  0.08444   0.02157   0.01309   0.05085
 1.16655   1.52394   0.94902   0.00000  0.00610  0.08181   0.01962   0.01287   0.04462
 1.20050   1.41734   0.95454   0.00000  0.00500  0.07883   0.01788   0.01262   0.03836
 1.24085   1.32795   0.96062   0.00000  0.00398  0.07565   0.01640   0.01235   0.03229
 1.28881   1.25429   0.96668   0.00000  0.00307  0.07241   0.01517   0.01209   0.02659
 1.34582   1.19445   0.97233   0.00000  0.00230  0.06914   0.01418   0.01187   0.02142
 1.41359   1.14664   0.97737   0.00000  0.00166  0.06569   0.01339   0.01168   0.01687
 1.49414   1.10922   0.98175   0.00000  0.00115  0.06199   0.01277   0.01151   0.01301
 1.58988   1.08059   0.98546   0.00000  0.00077  0.05806   0.01230   0.01138   0.00987
 1.70368   1.05918   0.98855   0.00000  0.00050  0.05395   0.01194   0.01127   0.00741
 1.83895   1.04349   0.99107   0.00000  0.00031  0.04971   0.01167   0.01119   0.00553
