xflr5 v6.30
NACA 0010
T1_Re0.050_M0.00_N9.0
Alpha =   3.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.6733   -0.026    -0.037    -1.013    -1.018
 0.6878   -0.022    -0.033    -1.011    -1.016
 0.7022   -0.018    -0.030    -1.009    -1.015
 0.7165   -0.014    -0.026    -1.007    -1.013
 0.7308   -0.010    -0.022    -1.005    -1.011
 0.7450   -0.005    -0.019    -1.003    -1.009
 0.7591   -0.001    -0.015    -1.000    -1.007
 0.7730    0.004    -0.011    -0.998    -1.005
 0.7868    0.009    -0.007    -0.996    -1.003
 0.8005    0.014    -0.003    -0.993    -1.002
 0.8140    0.019     0.001    -0.990    -1.000
 0.8273    0.025     0.005    -0.988    -0.998
 0.8404    0.031     0.009    -0.985    -0.995
 0.8533    0.037     0.013    -0.981    -0.993
 0.8660    0.043     0.017    -0.978    -0.991
 0.8783    0.050     0.021    -0.974    -0.989
 0.8904    0.058     0.025    -0.971    -0.987
 0.9022    0.066     0.029    -0.966    -0.986
 0.9136    0.075     0.032    -0.962    -0.984
 0.9246    0.084     0.036    -0.957    -0.982
 0.9352    0.094     0.039    -0.952    -0.980
 0.9454    0.106     0.043    -0.946    -0.978
 0.9550    0.119     0.046    -0.939    -0.977
 0.9641    0.133     0.048    -0.931    -0.976
 0.9725    0.150     0.051    -0.922    -0.974
 0.9802    0.170     0.053    -0.911    -0.973
 0.9871    0.195     0.055    -0.897    -0.972
 0.9929    0.227     0.057    -0.879    -0.971
 0.9975    0.272     0.058    -0.853    -0.971
 1.0000    0.376     0.059    -0.790    -0.970


